home ownership,total,geo_code,geo_level,geo_version
Institutional House,34313,NP,country,2016
Other Type of House,70630,NP,country,2016
Owned House,4623653,NP,country,2016
Rental House,694701,NP,country,2016
Institutional House,10830,3,province,2016
Other Type of House,19307,3,province,2016
Owned House,860603,3,province,2016
Rental House,378404,3,province,2016
Institutional House,165,56,district,2016
Other Type of House,125,56,district,2016
Owned House,8747,56,district,2016
Rental House,704,56,district,2016
Institutional House,12,29005,local,2016
Other Type of House,29,29005,local,2016
Owned House,1723,29005,local,2016
Rental House,82,29005,local,2016
Institutional House,133,29001,local,2016
Other Type of House,68,29001,local,2016
Owned House,1428,29001,local,2016
Rental House,388,29001,local,2016
Institutional House,4,29003,local,2016
Other Type of House,10,29003,local,2016
Owned House,2444,29003,local,2016
Rental House,25,29003,local,2016
Institutional House,6,29002,local,2016
Other Type of House,7,29002,local,2016
Owned House,1906,29002,local,2016
Rental House,170,29002,local,2016
Institutional House,10,29004,local,2016
Other Type of House,11,29004,local,2016
Owned House,1246,29004,local,2016
Rental House,39,29004,local,2016
Institutional House,100,65,district,2016
Other Type of House,360,65,district,2016
Owned House,54269,65,district,2016
Rental House,2815,65,district,2016
Institutional House,3,20008,local,2016
Other Type of House,30,20008,local,2016
Owned House,4444,20008,local,2016
Rental House,80,20008,local,2016
Institutional House,0,20007,local,2016
Other Type of House,10,20007,local,2016
Owned House,2986,20007,local,2016
Rental House,39,20007,local,2016
Institutional House,3,20004,local,2016
Other Type of House,15,20004,local,2016
Owned House,4544,20004,local,2016
Rental House,24,20004,local,2016
Institutional House,3,20006,local,2016
Other Type of House,38,20006,local,2016
Owned House,4730,20006,local,2016
Rental House,99,20006,local,2016
Institutional House,14,20001,local,2016
Other Type of House,99,20001,local,2016
Owned House,12882,20001,local,2016
Rental House,169,20001,local,2016
Institutional House,3,20002,local,2016
Other Type of House,6,20002,local,2016
Owned House,2439,20002,local,2016
Rental House,9,20002,local,2016
Institutional House,6,20009,local,2016
Other Type of House,36,20009,local,2016
Owned House,6755,20009,local,2016
Rental House,82,20009,local,2016
Institutional House,3,20003,local,2016
Other Type of House,16,20003,local,2016
Owned House,3558,20003,local,2016
Rental House,104,20003,local,2016
Institutional House,65,20005,local,2016
Other Type of House,110,20005,local,2016
Owned House,11931,20005,local,2016
Rental House,2209,20005,local,2016
Institutional House,259,66,district,2016
Other Type of House,561,66,district,2016
Owned House,62563,66,district,2016
Rental House,3252,66,district,2016
Institutional House,55,23011,local,2016
Other Type of House,35,23011,local,2016
Owned House,4171,23011,local,2016
Rental House,98,23011,local,2016
Institutional House,3,23008,local,2016
Other Type of House,8,23008,local,2016
Owned House,3581,23008,local,2016
Rental House,88,23008,local,2016
Institutional House,6,23007,local,2016
Other Type of House,23,23007,local,2016
Owned House,3829,23007,local,2016
Rental House,83,23007,local,2016
Institutional House,1,23006,local,2016
Other Type of House,24,23006,local,2016
Owned House,6109,23006,local,2016
Rental House,77,23006,local,2016
Institutional House,69,23004,local,2016
Other Type of House,38,23004,local,2016
Owned House,10136,23004,local,2016
Rental House,663,23004,local,2016
Institutional House,52,23003,local,2016
Other Type of House,278,23003,local,2016
Owned House,2956,23003,local,2016
Rental House,897,23003,local,2016
Institutional House,18,23005,local,2016
Other Type of House,24,23005,local,2016
Owned House,4048,23005,local,2016
Rental House,113,23005,local,2016
Institutional House,12,23001,local,2016
Other Type of House,11,23001,local,2016
Owned House,4131,23001,local,2016
Rental House,275,23001,local,2016
Institutional House,14,23009,local,2016
Other Type of House,43,23009,local,2016
Owned House,9637,23009,local,2016
Rental House,403,23009,local,2016
Institutional House,7,23012,local,2016
Other Type of House,18,23012,local,2016
Owned House,3323,23012,local,2016
Rental House,46,23012,local,2016
Institutional House,13,23002,local,2016
Other Type of House,27,23002,local,2016
Owned House,5755,23002,local,2016
Rental House,430,23002,local,2016
Institutional House,9,23010,local,2016
Other Type of House,32,23010,local,2016
Owned House,4887,23010,local,2016
Rental House,79,23010,local,2016
Institutional House,1704,12,district,2016
Other Type of House,8945,12,district,2016
Owned House,99107,12,district,2016
Rental House,22589,12,district,2016
Institutional House,26,35002,local,2016
Other Type of House,276,35002,local,2016
Owned House,3943,35002,local,2016
Rental House,533,35002,local,2016
Institutional House,47,35006,local,2016
Other Type of House,3610,35006,local,2016
Owned House,7692,35006,local,2016
Rental House,706,35006,local,2016
Institutional House,85,35004,local,2016
Other Type of House,384,35004,local,2016
Owned House,10657,35004,local,2016
Rental House,1205,35004,local,2016
Institutional House,133,35007,local,2016
Other Type of House,533,35007,local,2016
Owned House,13024,35007,local,2016
Rental House,2380,35007,local,2016
Institutional House,11,35003,local,2016
Other Type of House,165,35003,local,2016
Owned House,8429,35003,local,2016
Rental House,511,35003,local,2016
Institutional House,1386,35001,local,2016
Other Type of House,2382,35001,local,2016
Owned House,48247,35001,local,2016
Rental House,17020,35001,local,2016
Institutional House,16,35005,local,2016
Other Type of House,1595,35005,local,2016
Owned House,7115,35005,local,2016
Rental House,234,35005,local,2016
Institutional House,1121,38,district,2016
Other Type of House,1159,38,district,2016
Owned House,62419,38,district,2016
Rental House,44806,38,district,2016
Institutional House,102,25005,local,2016
Other Type of House,96,25005,local,2016
Owned House,9801,25005,local,2016
Rental House,4931,25005,local,2016
Institutional House,161,25002,local,2016
Other Type of House,197,25002,local,2016
Owned House,13984,25002,local,2016
Rental House,3420,25002,local,2016
Institutional House,5,25001,local,2016
Other Type of House,57,25001,local,2016
Owned House,2448,25001,local,2016
Rental House,104,25001,local,2016
Institutional House,1,25003,local,2016
Other Type of House,11,25003,local,2016
Owned House,1945,25003,local,2016
Rental House,44,25003,local,2016
Institutional House,7,25006,local,2016
Other Type of House,28,25006,local,2016
Owned House,1800,25006,local,2016
Rental House,107,25006,local,2016
Institutional House,845,25004,local,2016
Other Type of House,770,25004,local,2016
Owned House,32441,25004,local,2016
Rental House,36200,25004,local,2016
Institutional House,372,10,district,2016
Other Type of House,848,10,district,2016
Owned House,44988,10,district,2016
Rental House,22349,10,district,2016
Institutional House,56,26004,local,2016
Other Type of House,143,26004,local,2016
Owned House,12476,26004,local,2016
Rental House,5771,26004,local,2016
Institutional House,25,26002,local,2016
Other Type of House,127,26002,local,2016
Owned House,10692,26002,local,2016
Rental House,1326,26002,local,2016
Institutional House,140,26003,local,2016
Other Type of House,455,26003,local,2016
Owned House,10024,26003,local,2016
Rental House,9683,26003,local,2016
Institutional House,151,26001,local,2016
Other Type of House,123,26001,local,2016
Owned House,11796,26001,local,2016
Rental House,5569,26001,local,2016
Institutional House,315,20,district,2016
Other Type of House,366,20,district,2016
Owned House,42742,20,district,2016
Rental House,2235,20,district,2016
Institutional House,17,22003,local,2016
