lighting fuel,total,geo_code,geo_level
Bio-Gas,203255,NP,country
Electricity,49085203,NP,country
Kerosene,15018772,NP,country
Not Sated about Light,515632,NP,country
Others Type of Light,3735466,NP,country
Solar,4619111,NP,country
Bio-Gas,3448,3,province
Electricity,1087058,3,province
Kerosene,95056,3,province
Not Sated about Light,8415,3,province
Others Type of Light,22063,3,province
Solar,53104,3,province
Bio-Gas,0,56,district
Electricity,6961,56,district
Kerosene,1148,56,district
Not Sated about Light,36,56,district
Others Type of Light,976,56,district
Solar,620,56,district
Bio-Gas,0,29005,local
Electricity,6961,29005,local
Kerosene,1148,29005,local
Not Sated about Light,36,29005,local
Others Type of Light,976,29005,local
Solar,620,29005,local
Bio-Gas,0,29001,local
Electricity,6961,29001,local
Kerosene,1148,29001,local
Not Sated about Light,36,29001,local
Others Type of Light,976,29001,local
Solar,620,29001,local
Bio-Gas,0,29003,local
Electricity,6961,29003,local
Kerosene,1148,29003,local
Not Sated about Light,36,29003,local
Others Type of Light,976,29003,local
Solar,620,29003,local
Bio-Gas,0,29002,local
Electricity,6961,29002,local
Kerosene,1148,29002,local
Not Sated about Light,36,29002,local
Others Type of Light,976,29002,local
Solar,620,29002,local
Bio-Gas,0,29004,local
Electricity,6961,29004,local
Kerosene,1148,29004,local
Not Sated about Light,36,29004,local
Others Type of Light,976,29004,local
Solar,620,29004,local
Bio-Gas,92,65,district
Electricity,21791,65,district
Kerosene,12810,65,district
Not Sated about Light,234,65,district
Others Type of Light,7168,65,district
Solar,15449,65,district
Bio-Gas,92,20008,local
Electricity,21791,20008,local
Kerosene,12810,20008,local
Not Sated about Light,234,20008,local
Others Type of Light,7168,20008,local
Solar,15449,20008,local
Bio-Gas,92,20007,local
Electricity,21791,20007,local
Kerosene,12810,20007,local
Not Sated about Light,234,20007,local
Others Type of Light,7168,20007,local
Solar,15449,20007,local
Bio-Gas,92,20004,local
Electricity,21791,20004,local
Kerosene,12810,20004,local
Not Sated about Light,234,20004,local
Others Type of Light,7168,20004,local
Solar,15449,20004,local
Bio-Gas,92,20006,local
Electricity,21791,20006,local
Kerosene,12810,20006,local
Not Sated about Light,234,20006,local
Others Type of Light,7168,20006,local
Solar,15449,20006,local
Bio-Gas,92,20001,local
Electricity,21791,20001,local
Kerosene,12810,20001,local
Not Sated about Light,234,20001,local
Others Type of Light,7168,20001,local
Solar,15449,20001,local
Bio-Gas,92,20002,local
Electricity,21791,20002,local
Kerosene,12810,20002,local
Not Sated about Light,234,20002,local
Others Type of Light,7168,20002,local
Solar,15449,20002,local
Bio-Gas,92,20009,local
Electricity,21791,20009,local
Kerosene,12810,20009,local
Not Sated about Light,234,20009,local
Others Type of Light,7168,20009,local
Solar,15449,20009,local
Bio-Gas,92,20003,local
Electricity,21791,20003,local
Kerosene,12810,20003,local
Not Sated about Light,234,20003,local
Others Type of Light,7168,20003,local
Solar,15449,20003,local
Bio-Gas,92,20005,local
Electricity,21791,20005,local
Kerosene,12810,20005,local
Not Sated about Light,234,20005,local
Others Type of Light,7168,20005,local
Solar,15449,20005,local
Bio-Gas,3,66,district
Electricity,58827,66,district
Kerosene,6124,66,district
Not Sated about Light,384,66,district
Others Type of Light,460,66,district
Solar,837,66,district
Bio-Gas,3,23011,local
Electricity,58827,23011,local
Kerosene,6124,23011,local
Not Sated about Light,384,23011,local
Others Type of Light,460,23011,local
Solar,837,23011,local
Bio-Gas,3,23008,local
Electricity,58827,23008,local
Kerosene,6124,23008,local
Not Sated about Light,384,23008,local
Others Type of Light,460,23008,local
Solar,837,23008,local
Bio-Gas,3,23007,local
Electricity,58827,23007,local
Kerosene,6124,23007,local
Not Sated about Light,384,23007,local
Others Type of Light,460,23007,local
Solar,837,23007,local
Bio-Gas,3,23006,local
Electricity,58827,23006,local
Kerosene,6124,23006,local
Not Sated about Light,384,23006,local
Others Type of Light,460,23006,local
Solar,837,23006,local
Bio-Gas,3,23004,local
Electricity,58827,23004,local
Kerosene,6124,23004,local
Not Sated about Light,384,23004,local
Others Type of Light,460,23004,local
Solar,837,23004,local
Bio-Gas,3,23003,local
Electricity,58827,23003,local
Kerosene,6124,23003,local
Not Sated about Light,384,23003,local
Others Type of Light,460,23003,local
Solar,837,23003,local
Bio-Gas,3,23005,local
Electricity,58827,23005,local
Kerosene,6124,23005,local
Not Sated about Light,384,23005,local
Others Type of Light,460,23005,local
Solar,837,23005,local
Bio-Gas,3,23001,local
Electricity,58827,23001,local
Kerosene,6124,23001,local
Not Sated about Light,384,23001,local
Others Type of Light,460,23001,local
Solar,837,23001,local
Bio-Gas,3,23009,local
Electricity,58827,23009,local
Kerosene,6124,23009,local
Not Sated about Light,384,23009,local
Others Type of Light,460,23009,local
Solar,837,23009,local
Bio-Gas,3,23012,local
Electricity,58827,23012,local
Kerosene,6124,23012,local
Not Sated about Light,384,23012,local
Others Type of Light,460,23012,local
Solar,837,23012,local
Bio-Gas,3,23002,local
Electricity,58827,23002,local
Kerosene,6124,23002,local
Not Sated about Light,384,23002,local
Others Type of Light,460,23002,local
Solar,837,23002,local
Bio-Gas,3,23010,local
Electricity,58827,23010,local
Kerosene,6124,23010,local
Not Sated about Light,384,23010,local
Others Type of Light,460,23010,local
Solar,837,23010,local
Bio-Gas,333,12,district
Electricity,113728,12,district
Kerosene,7211,12,district
Not Sated about Light,539,12,district
Others Type of Light,3066,12,district
Solar,7468,12,district
Bio-Gas,333,35002,local
Electricity,113728,35002,local
Kerosene,7211,35002,local
Not Sated about Light,539,35002,local
Others Type of Light,3066,35002,local
Solar,7468,35002,local
Bio-Gas,333,35006,local
Electricity,113728,35006,local
