outer wall type,total,geo_code,geo_level
BambooWall,18747992,NP,country
Cement Bonded Bricks/Stone Wall,20993172,NP,country
Mud Bonded Bricks/Stone Wall,26391214,NP,country
Not Stated about Wall,866399,NP,country
Other Type Wall,1424628,NP,country
Unbaked Bricks,729478,NP,country
Wood/Planks,4024556,NP,country
BambooWall,31792,3,province
Cement Bonded Bricks/Stone Wall,599160,3,province
Mud Bonded Bricks/Stone Wall,555422,3,province
Not Stated about Wall,21008,3,province
Other Type Wall,10614,3,province
Unbaked Bricks,7405,3,province
Wood/Planks,43743,3,province
BambooWall,39,56,district
Cement Bonded Bricks/Stone Wall,954,56,district
Mud Bonded Bricks/Stone Wall,8453,56,district
Not Stated about Wall,70,56,district
Other Type Wall,14,56,district
Unbaked Bricks,9,56,district
Wood/Planks,202,56,district
BambooWall,39,29005,local
Cement Bonded Bricks/Stone Wall,954,29005,local
Mud Bonded Bricks/Stone Wall,8453,29005,local
Not Stated about Wall,70,29005,local
Other Type Wall,14,29005,local
Unbaked Bricks,9,29005,local
Wood/Planks,202,29005,local
BambooWall,39,29001,local
Cement Bonded Bricks/Stone Wall,954,29001,local
Mud Bonded Bricks/Stone Wall,8453,29001,local
Not Stated about Wall,70,29001,local
Other Type Wall,14,29001,local
Unbaked Bricks,9,29001,local
Wood/Planks,202,29001,local
BambooWall,39,29003,local
Cement Bonded Bricks/Stone Wall,954,29003,local
Mud Bonded Bricks/Stone Wall,8453,29003,local
Not Stated about Wall,70,29003,local
Other Type Wall,14,29003,local
Unbaked Bricks,9,29003,local
Wood/Planks,202,29003,local
BambooWall,39,29002,local
Cement Bonded Bricks/Stone Wall,954,29002,local
Mud Bonded Bricks/Stone Wall,8453,29002,local
Not Stated about Wall,70,29002,local
Other Type Wall,14,29002,local
Unbaked Bricks,9,29002,local
Wood/Planks,202,29002,local
BambooWall,39,29004,local
Cement Bonded Bricks/Stone Wall,954,29004,local
Mud Bonded Bricks/Stone Wall,8453,29004,local
Not Stated about Wall,70,29004,local
Other Type Wall,14,29004,local
Unbaked Bricks,9,29004,local
Wood/Planks,202,29004,local
BambooWall,12389,65,district
Cement Bonded Bricks/Stone Wall,5087,65,district
Mud Bonded Bricks/Stone Wall,29469,65,district
Not Stated about Wall,379,65,district
Other Type Wall,494,65,district
Unbaked Bricks,55,65,district
Wood/Planks,9671,65,district
BambooWall,12389,20008,local
Cement Bonded Bricks/Stone Wall,5087,20008,local
Mud Bonded Bricks/Stone Wall,29469,20008,local
Not Stated about Wall,379,20008,local
Other Type Wall,494,20008,local
Unbaked Bricks,55,20008,local
Wood/Planks,9671,20008,local
BambooWall,12389,20007,local
Cement Bonded Bricks/Stone Wall,5087,20007,local
Mud Bonded Bricks/Stone Wall,29469,20007,local
Not Stated about Wall,379,20007,local
Other Type Wall,494,20007,local
Unbaked Bricks,55,20007,local
Wood/Planks,9671,20007,local
BambooWall,12389,20004,local
Cement Bonded Bricks/Stone Wall,5087,20004,local
Mud Bonded Bricks/Stone Wall,29469,20004,local
Not Stated about Wall,379,20004,local
Other Type Wall,494,20004,local
Unbaked Bricks,55,20004,local
Wood/Planks,9671,20004,local
BambooWall,12389,20006,local
Cement Bonded Bricks/Stone Wall,5087,20006,local
Mud Bonded Bricks/Stone Wall,29469,20006,local
Not Stated about Wall,379,20006,local
Other Type Wall,494,20006,local
Unbaked Bricks,55,20006,local
Wood/Planks,9671,20006,local
BambooWall,12389,20001,local
Cement Bonded Bricks/Stone Wall,5087,20001,local
Mud Bonded Bricks/Stone Wall,29469,20001,local
Not Stated about Wall,379,20001,local
Other Type Wall,494,20001,local
Unbaked Bricks,55,20001,local
Wood/Planks,9671,20001,local
BambooWall,12389,20002,local
Cement Bonded Bricks/Stone Wall,5087,20002,local
Mud Bonded Bricks/Stone Wall,29469,20002,local
Not Stated about Wall,379,20002,local
Other Type Wall,494,20002,local
Unbaked Bricks,55,20002,local
Wood/Planks,9671,20002,local
BambooWall,12389,20009,local
Cement Bonded Bricks/Stone Wall,5087,20009,local
Mud Bonded Bricks/Stone Wall,29469,20009,local
Not Stated about Wall,379,20009,local
Other Type Wall,494,20009,local
Unbaked Bricks,55,20009,local
Wood/Planks,9671,20009,local
BambooWall,12389,20003,local
Cement Bonded Bricks/Stone Wall,5087,20003,local
Mud Bonded Bricks/Stone Wall,29469,20003,local
Not Stated about Wall,379,20003,local
Other Type Wall,494,20003,local
Unbaked Bricks,55,20003,local
Wood/Planks,9671,20003,local
BambooWall,12389,20005,local
Cement Bonded Bricks/Stone Wall,5087,20005,local
Mud Bonded Bricks/Stone Wall,29469,20005,local
Not Stated about Wall,379,20005,local
Other Type Wall,494,20005,local
Unbaked Bricks,55,20005,local
Wood/Planks,9671,20005,local
BambooWall,155,66,district
Cement Bonded Bricks/Stone Wall,4907,66,district
Mud Bonded Bricks/Stone Wall,60276,66,district
Not Stated about Wall,606,66,district
Other Type Wall,56,66,district
Unbaked Bricks,15,66,district
Wood/Planks,620,66,district
BambooWall,155,23011,local
Cement Bonded Bricks/Stone Wall,4907,23011,local
Mud Bonded Bricks/Stone Wall,60276,23011,local
Not Stated about Wall,606,23011,local
Other Type Wall,56,23011,local
Unbaked Bricks,15,23011,local
Wood/Planks,620,23011,local
BambooWall,155,23008,local
Cement Bonded Bricks/Stone Wall,4907,23008,local
Mud Bonded Bricks/Stone Wall,60276,23008,local
Not Stated about Wall,606,23008,local
Other Type Wall,56,23008,local
Unbaked Bricks,15,23008,local
Wood/Planks,620,23008,local
BambooWall,155,23007,local
Cement Bonded Bricks/Stone Wall,4907,23007,local
Mud Bonded Bricks/Stone Wall,60276,23007,local
Not Stated about Wall,606,23007,local
Other Type Wall,56,23007,local
Unbaked Bricks,15,23007,local
Wood/Planks,620,23007,local
BambooWall,155,23006,local
Cement Bonded Bricks/Stone Wall,4907,23006,local
Mud Bonded Bricks/Stone Wall,60276,23006,local
Not Stated about Wall,606,23006,local
Other Type Wall,56,23006,local
Unbaked Bricks,15,23006,local
Wood/Planks,620,23006,local
BambooWall,155,23004,local
Cement Bonded Bricks/Stone Wall,4907,23004,local
Mud Bonded Bricks/Stone Wall,60276,23004,local
Not Stated about Wall,606,23004,local
Other Type Wall,56,23004,local
Unbaked Bricks,15,23004,local
Wood/Planks,620,23004,local
BambooWall,155,23003,local
Cement Bonded Bricks/Stone Wall,4907,23003,local
Mud Bonded Bricks/Stone Wall,60276,23003,local
Not Stated about Wall,606,23003,local
Other Type Wall,56,23003,local
Unbaked Bricks,15,23003,local
Wood/Planks,620,23003,local
BambooWall,155,23005,local
Cement Bonded Bricks/Stone Wall,4907,23005,local
Mud Bonded Bricks/Stone Wall,60276,23005,local
Not Stated about Wall,606,23005,local
Other Type Wall,56,23005,local
Unbaked Bricks,15,23005,local
Wood/Planks,620,23005,local
BambooWall,155,23001,local
Cement Bonded Bricks/Stone Wall,4907,23001,local
Mud Bonded Bricks/Stone Wall,60276,23001,local
Not Stated about Wall,606,23001,local
Other Type Wall,56,23001,local
Unbaked Bricks,15,23001,local
Wood/Planks,620,23001,local
BambooWall,155,23009,local
Cement Bonded Bricks/Stone Wall,4907,23009,local
Mud Bonded Bricks/Stone Wall,60276,23009,local
Not Stated about Wall,606,23009,local
Other Type Wall,56,23009,local
Unbaked Bricks,15,23009,local
Wood/Planks,620,23009,local
BambooWall,155,23012,local
Cement Bonded Bricks/Stone Wall,4907,23012,local
Mud Bonded Bricks/Stone Wall,60276,23012,local
Not Stated about Wall,606,23012,local
Other Type Wall,56,23012,local
Unbaked Bricks,15,23012,local
Wood/Planks,620,23012,local
BambooWall,155,23002,local
Cement Bonded Bricks/Stone Wall,4907,23002,local
Mud Bonded Bricks/Stone Wall,60276,23002,local
Not Stated about Wall,606,23002,local
Other Type Wall,56,23002,local
Unbaked Bricks,15,23002,local
Wood/Planks,620,23002,local
BambooWall,155,23010,local
Cement Bonded Bricks/Stone Wall,4907,23010,local
Mud Bonded Bricks/Stone Wall,60276,23010,local
Not Stated about Wall,606,23010,local
Other Type Wall,56,23010,local
Unbaked Bricks,15,23010,local
Wood/Planks,620,23010,local
BambooWall,11252,12,district
Cement Bonded Bricks/Stone Wall,74495,12,district
Mud Bonded Bricks/Stone Wall,27644,12,district
Not Stated about Wall,1174,12,district
Other Type Wall,6333,12,district
Unbaked Bricks,1996,12,district
Wood/Planks,9451,12,district
BambooWall,11252,35002,local
Cement Bonded Bricks/Stone Wall,74495,35002,local
Mud Bonded Bricks/Stone Wall,27644,35002,local
Not Stated about Wall,1174,35002,local
Other Type Wall,6333,35002,local
Unbaked Bricks,1996,35002,local
