roof type,total,geo_code,geo_level,geo_version
Galvanized Iron Plate,1532804,NP,country,2016
Mud Roof,59029,NP,country,2016
Not Stated Roof,66352,NP,country,2016
Other Type of Roof,22703,NP,country,2016
RCC Roof,1219060,NP,country,2016
Thatch/Straw Roof,1032282,NP,country,2016
Tile/Slate Roof,1446998,NP,country,2016
Wood/Planks Roof,44069,NP,country,2016
Galvanized Iron Plate,427659,3,province,2016
Mud Roof,267,3,province,2016
Not Stated Roof,22683,3,province,2016
Other Type of Roof,2624,3,province,2016
RCC Roof,528809,3,province,2016
Thatch/Straw Roof,89874,3,province,2016
Tile/Slate Roof,186185,3,province,2016
Wood/Planks Roof,11043,3,province,2016
Galvanized Iron Plate,7041,56,district,2016
Mud Roof,1,56,district,2016
Not Stated Roof,64,56,district,2016
Other Type of Roof,68,56,district,2016
RCC Roof,390,56,district,2016
Thatch/Straw Roof,144,56,district,2016
Tile/Slate Roof,934,56,district,2016
Wood/Planks Roof,1099,56,district,2016
Galvanized Iron Plate,1643,29005,local,2016
Mud Roof,0,29005,local,2016
Not Stated Roof,10,29005,local,2016
Other Type of Roof,6,29005,local,2016
RCC Roof,31,29005,local,2016
Thatch/Straw Roof,27,29005,local,2016
Tile/Slate Roof,32,29005,local,2016
Wood/Planks Roof,97,29005,local,2016
Galvanized Iron Plate,1357,29001,local,2016
Mud Roof,1,29001,local,2016
Not Stated Roof,11,29001,local,2016
Other Type of Roof,42,29001,local,2016
RCC Roof,197,29001,local,2016
Thatch/Straw Roof,35,29001,local,2016
Tile/Slate Roof,27,29001,local,2016
Wood/Planks Roof,347,29001,local,2016
Galvanized Iron Plate,1595,29003,local,2016
Mud Roof,0,29003,local,2016
Not Stated Roof,17,29003,local,2016
Other Type of Roof,14,29003,local,2016
RCC Roof,0,29003,local,2016
Thatch/Straw Roof,44,29003,local,2016
Tile/Slate Roof,809,29003,local,2016
Wood/Planks Roof,4,29003,local,2016
Galvanized Iron Plate,1818,29002,local,2016
Mud Roof,0,29002,local,2016
Not Stated Roof,21,29002,local,2016
Other Type of Roof,3,29002,local,2016
RCC Roof,155,29002,local,2016
Thatch/Straw Roof,27,29002,local,2016
Tile/Slate Roof,61,29002,local,2016
Wood/Planks Roof,4,29002,local,2016
Galvanized Iron Plate,628,29004,local,2016
Mud Roof,0,29004,local,2016
Not Stated Roof,5,29004,local,2016
Other Type of Roof,3,29004,local,2016
RCC Roof,7,29004,local,2016
Thatch/Straw Roof,11,29004,local,2016
Tile/Slate Roof,5,29004,local,2016
Wood/Planks Roof,647,29004,local,2016
Galvanized Iron Plate,5614,65,district,2016
Mud Roof,16,65,district,2016
Not Stated Roof,438,65,district,2016
Other Type of Roof,150,65,district,2016
RCC Roof,1455,65,district,2016
Thatch/Straw Roof,18955,65,district,2016
Tile/Slate Roof,30719,65,district,2016
Wood/Planks Roof,197,65,district,2016
Galvanized Iron Plate,1266,20008,local,2016
Mud Roof,0,20008,local,2016
Not Stated Roof,22,20008,local,2016
Other Type of Roof,1,20008,local,2016
RCC Roof,4,20008,local,2016
Thatch/Straw Roof,2114,20008,local,2016
Tile/Slate Roof,1150,20008,local,2016
Wood/Planks Roof,0,20008,local,2016
