toilet type,total,geo_code,geo_level
Flush Toilet Septic Tank,5462905,NP,country
Flush toilet (sewerage),1345577,NP,country
Not Stated about Toilet,105286,NP,country
Ordinary Toilet,3175478,NP,country
Without Tiolet,6229430,NP,country
Flush toilet (sewerage),394579,3,province
Flush Toilet Septic Tank,455628,3,province
Not Stated about Toilet,8409,3,province
Ordinary Toilet,192227,3,province
Without Tiolet,218301,3,province
Flush toilet (sewerage),11,56,district
Flush Toilet Septic Tank,3595,56,district
Not Stated about Toilet,35,56,district
Ordinary Toilet,1881,56,district
Without Tiolet,4219,56,district
Flush toilet (sewerage),1,29005,local
Flush Toilet Septic Tank,886,29005,local
Not Stated about Toilet,5,29005,local
Ordinary Toilet,286,29005,local
Without Tiolet,668,29005,local
Flush toilet (sewerage),2,29001,local
Flush Toilet Septic Tank,875,29001,local
Not Stated about Toilet,5,29001,local
Ordinary Toilet,421,29001,local
Without Tiolet,714,29001,local
Flush toilet (sewerage),3,29003,local
Flush Toilet Septic Tank,548,29003,local
Not Stated about Toilet,9,29003,local
Ordinary Toilet,389,29003,local
Without Tiolet,1534,29003,local
Flush toilet (sewerage),2,29002,local
Flush Toilet Septic Tank,1045,29002,local
Not Stated about Toilet,14,29002,local
Ordinary Toilet,586,29002,local
Without Tiolet,442,29002,local
Flush toilet (sewerage),3,29004,local
Flush Toilet Septic Tank,241,29004,local
Not Stated about Toilet,2,29004,local
Ordinary Toilet,199,29004,local
Without Tiolet,861,29004,local
Flush toilet (sewerage),608,65,district
Flush Toilet Septic Tank,12212,65,district
Not Stated about Toilet,232,65,district
Ordinary Toilet,6255,65,district
Without Tiolet,38237,65,district
Flush toilet (sewerage),19,20008,local
Flush Toilet Septic Tank,1405,20008,local
Not Stated about Toilet,12,20008,local
Ordinary Toilet,307,20008,local
Without Tiolet,2814,20008,local
Flush toilet (sewerage),49,20007,local
Flush Toilet Septic Tank,183,20007,local
Not Stated about Toilet,20,20007,local
Ordinary Toilet,349,20007,local
Without Tiolet,2434,20007,local
Flush toilet (sewerage),32,20004,local
Flush Toilet Septic Tank,69,20004,local
Not Stated about Toilet,24,20004,local
Ordinary Toilet,156,20004,local
Without Tiolet,4305,20004,local
Flush toilet (sewerage),78,20006,local
Flush Toilet Septic Tank,405,20006,local
Not Stated about Toilet,16,20006,local
Ordinary Toilet,168,20006,local
Without Tiolet,4203,20006,local
Flush toilet (sewerage),168,20001,local
Flush Toilet Septic Tank,2330,20001,local
Not Stated about Toilet,74,20001,local
Ordinary Toilet,1118,20001,local
Without Tiolet,9474,20001,local
Flush toilet (sewerage),16,20002,local
Flush Toilet Septic Tank,56,20002,local
Not Stated about Toilet,11,20002,local
Ordinary Toilet,117,20002,local
Without Tiolet,2257,20002,local
Flush toilet (sewerage),41,20009,local
Flush Toilet Septic Tank,969,20009,local
Not Stated about Toilet,23,20009,local
Ordinary Toilet,1375,20009,local
Without Tiolet,4471,20009,local
Flush toilet (sewerage),26,20003,local
Flush Toilet Septic Tank,595,20003,local
Not Stated about Toilet,15,20003,local
Ordinary Toilet,333,20003,local
Without Tiolet,2712,20003,local
Flush toilet (sewerage),179,20005,local
Flush Toilet Septic Tank,6200,20005,local
Not Stated about Toilet,37,20005,local
Ordinary Toilet,2332,20005,local
Without Tiolet,5567,20005,local
Flush toilet (sewerage),332,66,district
Flush Toilet Septic Tank,23206,66,district
Not Stated about Toilet,363,66,district
Ordinary Toilet,18834,66,district
Without Tiolet,23900,66,district
Flush toilet (sewerage),23,23011,local
Flush Toilet Septic Tank,2389,23011,local
Not Stated about Toilet,23,23011,local
Ordinary Toilet,1152,23011,local
Without Tiolet,772,23011,local
Flush toilet (sewerage),15,23008,local
Flush Toilet Septic Tank,1566,23008,local
Not Stated about Toilet,9,23008,local
Ordinary Toilet,884,23008,local
Without Tiolet,1206,23008,local
Flush toilet (sewerage),0,23007,local
Flush Toilet Septic Tank,619,23007,local
Not Stated about Toilet,24,23007,local
Ordinary Toilet,661,23007,local
Without Tiolet,2637,23007,local
Flush toilet (sewerage),2,23006,local
Flush Toilet Septic Tank,1876,23006,local
Not Stated about Toilet,33,23006,local
Ordinary Toilet,1821,23006,local
Without Tiolet,2479,23006,local
Flush toilet (sewerage),91,23004,local
Flush Toilet Septic Tank,5387,23004,local
Not Stated about Toilet,106,23004,local
Ordinary Toilet,2824,23004,local
Without Tiolet,2498,23004,local
Flush toilet (sewerage),101,23003,local
Flush Toilet Septic Tank,1061,23003,local
Not Stated about Toilet,19,23003,local
Ordinary Toilet,929,23003,local
Without Tiolet,2073,23003,local
Flush toilet (sewerage),1,23005,local
Flush Toilet Septic Tank,660,23005,local
Not Stated about Toilet,21,23005,local
Ordinary Toilet,2377,23005,local
Without Tiolet,1144,23005,local
Flush toilet (sewerage),51,23001,local
Flush Toilet Septic Tank,2063,23001,local
Not Stated about Toilet,22,23001,local
Ordinary Toilet,982,23001,local
Without Tiolet,1311,23001,local
Flush toilet (sewerage),18,23009,local
Flush Toilet Septic Tank,2905,23009,local
Not Stated about Toilet,48,23009,local
Ordinary Toilet,3042,23009,local
Without Tiolet,4084,23009,local
Flush toilet (sewerage),2,23012,local
Flush Toilet Septic Tank,1184,23012,local
Not Stated about Toilet,3,23012,local
Ordinary Toilet,1050,23012,local
Without Tiolet,1155,23012,local
Flush toilet (sewerage),18,23002,local
Flush Toilet Septic Tank,2260,23002,local
Not Stated about Toilet,26,23002,local
Ordinary Toilet,1586,23002,local
Without Tiolet,2335,23002,local
Flush toilet (sewerage),10,23010,local
Flush Toilet Septic Tank,1236,23010,local
Not Stated about Toilet,29,23010,local
Ordinary Toilet,1526,23010,local
Without Tiolet,2206,23010,local
Flush toilet (sewerage),1660,12,district
Flush Toilet Septic Tank,96035,12,district
Not Stated about Toilet,541,12,district
Ordinary Toilet,26287,12,district
Without Tiolet,7822,12,district
Flush toilet (sewerage),113,35002,local
Flush Toilet Septic Tank,2338,35002,local
Not Stated about Toilet,14,35002,local
Ordinary Toilet,1803,35002,local
Without Tiolet,510,35002,local
Flush toilet (sewerage),115,35006,local
Flush Toilet Septic Tank,6456,35006,local
Not Stated about Toilet,23,35006,local
Ordinary Toilet,4046,35006,local
Without Tiolet,1415,35006,local
Flush toilet (sewerage),107,35004,local
Flush Toilet Septic Tank,8326,35004,local
Not Stated about Toilet,47,35004,local
Ordinary Toilet,3094,35004,local
Without Tiolet,757,35004,local
Flush toilet (sewerage),200,35007,local
Flush Toilet Septic Tank,11632,35007,local
Not Stated about Toilet,112,35007,local
Ordinary Toilet,3394,35007,local
Without Tiolet,732,35007,local
Flush toilet (sewerage),78,35003,local
Flush Toilet Septic Tank,5018,35003,local
Not Stated about Toilet,27,35003,local
Ordinary Toilet,3053,35003,local
Without Tiolet,940,35003,local
Flush toilet (sewerage),989,35001,local
Flush Toilet Septic Tank,56616,35001,local
Not Stated about Toilet,300,35001,local
Ordinary Toilet,9146,35001,local
Without Tiolet,1984,35001,local
Flush toilet (sewerage),58,35005,local
Flush Toilet Septic Tank,5649,35005,local
Not Stated about Toilet,18,35005,local
Ordinary Toilet,1751,35005,local
Without Tiolet,1484,35005,local
Flush toilet (sewerage),49045,38,district
Flush Toilet Septic Tank,42492,38,district
Not Stated about Toilet,1094,38,district
Ordinary Toilet,12139,38,district
Without Tiolet,4735,38,district
Flush toilet (sewerage),3456,25005,local
Flush Toilet Septic Tank,8769,25005,local
Not Stated about Toilet,318,25005,local
Ordinary Toilet,2287,25005,local
Without Tiolet,100,25005,local
Flush toilet (sewerage),349,25002,local
Flush Toilet Septic Tank,11667,25002,local
Not Stated about Toilet,184,25002,local
Ordinary Toilet,4002,25002,local
Without Tiolet,1560,25002,local
Flush toilet (sewerage),18,25001,local
Flush Toilet Septic Tank,697,25001,local
Not Stated about Toilet,11,25001,local
Ordinary Toilet,644,25001,local
Without Tiolet,1244,25001,local
Flush toilet (sewerage),18,25003,local
Flush Toilet Septic Tank,654,25003,local
Not Stated about Toilet,13,25003,local
Ordinary Toilet,404,25003,local
Without Tiolet,912,25003,local
Flush toilet (sewerage),7,25006,local
Flush Toilet Septic Tank,1077,25006,local
Not Stated about Toilet,14,25006,local
Ordinary Toilet,263,25006,local
Without Tiolet,581,25006,local
Flush toilet (sewerage),45197,25004,local
Flush Toilet Septic Tank,19628,25004,local
Not Stated about Toilet,554,25004,local
Ordinary Toilet,4539,25004,local
Without Tiolet,338,25004,local
Flush toilet (sewerage),33019,10,district
Flush Toilet Septic Tank,26109,10,district
Not Stated about Toilet,437,10,district
Ordinary Toilet,6913,10,district
Without Tiolet,2079,10,district
Flush toilet (sewerage),5098,26004,local
Flush Toilet Septic Tank,9916,26004,local
Not Stated about Toilet,116,26004,local
Ordinary Toilet,2814,26004,local
Without Tiolet,502,26004,local
Flush toilet (sewerage),446,26002,local
Flush Toilet Septic Tank,7213,26002,local
Not Stated about Toilet,93,26002,local
Ordinary Toilet,3037,26002,local
Without Tiolet,1381,26002,local
Flush toilet (sewerage),12813,26003,local
Flush Toilet Septic Tank,6742,26003,local
Not Stated about Toilet,129,26003,local
Ordinary Toilet,472,26003,local
Without Tiolet,146,26003,local
Flush toilet (sewerage),14662,26001,local
Flush Toilet Septic Tank,2238,26001,local
Not Stated about Toilet,99,26001,local
Ordinary Toilet,590,26001,local
Without Tiolet,50,26001,local
Flush toilet (sewerage),50,20,district
Flush Toilet Septic Tank,17638,20,district
Not Stated about Toilet,128,20,district
Ordinary Toilet,13982,20,district
Without Tiolet,13860,20,district
Flush toilet (sewerage),0,22003,local
Flush Toilet Septic Tank,1013,22003,local
Not Stated about Toilet,17,22003,local
Ordinary Toilet,1898,22003,local
Without Tiolet,1490,22003,local
Flush toilet (sewerage),2,22008,local
Flush Toilet Septic Tank,1477,22008,local
Not Stated about Toilet,13,22008,local
Ordinary Toilet,1348,22008,local
Without Tiolet,2118,22008,local
Flush toilet (sewerage),3,22009,local
Flush Toilet Septic Tank,2264,22009,local
Not Stated about Toilet,5,22009,local
Ordinary Toilet,819,22009,local
Without Tiolet,1254,22009,local
Flush toilet (sewerage),23,22002,local
Flush Toilet Septic Tank,4613,22002,local
Not Stated about Toilet,22,22002,local
Ordinary Toilet,2990,22002,local
Without Tiolet,991,22002,local
Flush toilet (sewerage),0,22004,local
Flush Toilet Septic Tank,991,22004,local
Not Stated about Toilet,26,22004,local
Ordinary Toilet,1364,22004,local
Without Tiolet,1686,22004,local
Flush toilet (sewerage),2,22006,local
Flush Toilet Septic Tank,1923,22006,local
Not Stated about Toilet,14,22006,local
Ordinary Toilet,2239,22006,local
Without Tiolet,1279,22006,local
Flush toilet (sewerage),20,22005,local
Flush Toilet Septic Tank,1460,22005,local
Not Stated about Toilet,6,22005,local
Ordinary Toilet,670,22005,local
Without Tiolet,1698,22005,local
Flush toilet (sewerage),0,22007,local
Flush Toilet Septic Tank,1468,22007,local
Not Stated about Toilet,18,22007,local
Ordinary Toilet,1105,22007,local
Without Tiolet,2250,22007,local
Flush toilet (sewerage),0,22001,local
Flush Toilet Septic Tank,2429,22001,local
Not Stated about Toilet,7,22001,local
Ordinary Toilet,1549,22001,local
Without Tiolet,1094,22001,local
Flush toilet (sewerage),1063,41,district
Flush Toilet Septic Tank,36774,41,district
Not Stated about Toilet,224,41,district
Ordinary Toilet,13275,41,district
Without Tiolet,34709,41,district
Flush toilet (sewerage),126,31010,local
Flush Toilet Septic Tank,3782,31010,local
Not Stated about Toilet,17,31010,local
Ordinary Toilet,1296,31010,local
Without Tiolet,3707,31010,local
Flush toilet (sewerage),26,31006,local
Flush Toilet Septic Tank,337,31006,local
Not Stated about Toilet,15,31006,local
Ordinary Toilet,355,31006,local
Without Tiolet,3530,31006,local
Flush toilet (sewerage),32,31003,local
Flush Toilet Septic Tank,2223,31003,local
Not Stated about Toilet,13,31003,local
Ordinary Toilet,888,31003,local
Without Tiolet,1654,31003,local
Flush toilet (sewerage),46,31001,local
Flush Toilet Septic Tank,618,31001,local
Not Stated about Toilet,10,31001,local
Ordinary Toilet,705,31001,local
Without Tiolet,4352,31001,local
Flush toilet (sewerage),162,31005,local
Flush Toilet Septic Tank,1621,31005,local
Not Stated about Toilet,8,31005,local
Ordinary Toilet,296,31005,local
Without Tiolet,967,31005,local
Flush toilet (sewerage),30,31002,local
Flush Toilet Septic Tank,1249,31002,local
Not Stated about Toilet,7,31002,local
Ordinary Toilet,509,31002,local
Without Tiolet,5743,31002,local
Flush toilet (sewerage),39,31008,local
Flush Toilet Septic Tank,2312,31008,local
Not Stated about Toilet,8,31008,local
Ordinary Toilet,1569,31008,local
Without Tiolet,3963,31008,local
Flush toilet (sewerage),48,31009,local
Flush Toilet Septic Tank,235,31009,local
Not Stated about Toilet,4,31009,local
Ordinary Toilet,679,31009,local
