education level passed,geo_code,geo_level,sex,total
Beginners,NP,country,Female,3824147
Beginners,NP,country,Male,4420266
Graduate and Equivalent,NP,country,Female,1919800
Graduate and Equivalent,NP,country,Male,4035799
Intermediate and Equivalent,NP,country,Female,5517055
Intermediate and Equivalent,NP,country,Male,7851615
Level not Stated,NP,country,Female,510591
Level not Stated,NP,country,Male,580513
Lower Secondary (Class 6-8),NP,country,Female,19629102
Lower Secondary (Class 6-8),NP,country,Male,23177586
Non Formal Education,NP,country,Female,4477893
Non Formal Education,NP,country,Male,3917392
Others,NP,country,Female,111303
Others,NP,country,Male,124990
Post Graduate Equivalent and Above,NP,country,Female,489269
Post Graduate Equivalent and Above,NP,country,Male,1514017
Primary Education (1-5 Class),NP,country,Female,39094508
Primary Education (1-5 Class),NP,country,Male,45194923
SLC and Equivalent,NP,country,Female,9174638
SLC and Equivalent,NP,country,Male,11978714
Secondary Level (Class 9-10),NP,country,Female,10769205
Secondary Level (Class 9-10),NP,country,Male,13714030
Beginners,3,province,Female,60698
Beginners,3,province,Male,69230
Graduate and Equivalent,3,province,Female,82862
Graduate and Equivalent,3,province,Male,136089
Intermediate and Equivalent,3,province,Female,181398
Intermediate and Equivalent,3,province,Male,220607
Level not Stated,3,province,Female,8419
Level not Stated,3,province,Male,9171
Lower Secondary (Class 6-8),3,province,Female,318780
Lower Secondary (Class 6-8),3,province,Male,351929
Non Formal Education,3,province,Female,100678
Non Formal Education,3,province,Male,90221
Others,3,province,Female,1418
Others,3,province,Male,1820
Post Graduate Equivalent and Above,3,province,Female,27076
Post Graduate Equivalent and Above,3,province,Male,65519
Primary Education (1-5 Class),3,province,Female,547523
Primary Education (1-5 Class),3,province,Male,624809
Secondary Level (Class 9-10),3,province,Female,197458
Secondary Level (Class 9-10),3,province,Male,223675
SLC and Equivalent,3,province,Female,206793
SLC and Equivalent,3,province,Male,254964
Beginners,56,district,Female,438
Beginners,56,district,Male,427
Graduate and Equivalent,56,district,Female,73
Graduate and Equivalent,56,district,Male,234
Intermediate and Equivalent,56,district,Female,442
Intermediate and Equivalent,56,district,Male,630
Level not Stated,56,district,Female,42
Level not Stated,56,district,Male,56
Lower Secondary (Class 6-8),56,district,Female,1976
Lower Secondary (Class 6-8),56,district,Male,2251
Non Formal Education,56,district,Female,199
Non Formal Education,56,district,Male,298
Others,56,district,Female,7
Others,56,district,Male,23
Post Graduate Equivalent and Above,56,district,Female,19
Post Graduate Equivalent and Above,56,district,Male,68
Primary Education (1-5 Class),56,district,Female,4692
Primary Education (1-5 Class),56,district,Male,5337
