geo_code,geo_level,literacy,sex,total,geo_version
NP,country,Literate,Female,7076720,2016
NP,country,Literate,Male,8471659,2016
NP,country,Not Read/Write,Female,4946311,2016
NP,country,Not Read/Write,Male,2571325,2016
NP,country,Not Stated,Female,13382,2016
NP,country,Not Stated,Male,8131,2016
NP,country,Read Only,Female,318438,2016
NP,country,Read Only,Male,281734,2016
3,province,Literate,Female,1713980,2016
3,province,Literate,Male,2026712,2016
3,province,Not Read/Write,Female,786990,2016
3,province,Not Read/Write,Male,378052,2016
3,province,Not Stated,Female,2065,2016
3,province,Not Stated,Male,1119,2016
3,province,Read Only,Female,60937,2016
3,province,Read Only,Male,53105,2016
56,district,Literate,Female,9114,2016
56,district,Literate,Male,10975,2016
56,district,Not Read/Write,Female,10075,2016
56,district,Not Read/Write,Male,7033,2016
56,district,Not Stated,Female,36,2016
56,district,Not Stated,Male,8,2016
56,district,Read Only,Female,570,2016
56,district,Read Only,Male,580,2016
29005,local,Literate,Female,2184,2016
29005,local,Literate,Male,2350,2016
29005,local,Not Read/Write,Female,1793,2016
29005,local,Not Read/Write,Male,1034,2016
29005,local,Not Stated,Female,4,2016
29005,local,Not Stated,Male,0,2016
29005,local,Read Only,Female,106,2016
29005,local,Read Only,Male,122,2016
29001,local,Literate,Female,1498,2016
29001,local,Literate,Male,2255,2016
29001,local,Not Read/Write,Female,1589,2016
29001,local,Not Read/Write,Male,1033,2016
29001,local,Not Stated,Female,4,2016
29001,local,Not Stated,Male,1,2016
29001,local,Read Only,Female,75,2016
29001,local,Read Only,Male,93,2016
29003,local,Literate,Female,2068,2016
29003,local,Literate,Male,2548,2016
29003,local,Not Read/Write,Female,3277,2016
29003,local,Not Read/Write,Male,2481,2016
29003,local,Not Stated,Female,8,2016
29003,local,Not Stated,Male,2,2016
29003,local,Read Only,Female,127,2016
29003,local,Read Only,Male,127,2016
29002,local,Literate,Female,2311,2016
29002,local,Literate,Male,2581,2016
29002,local,Not Read/Write,Female,2058,2016
29002,local,Not Read/Write,Male,1410,2016
29002,local,Not Stated,Female,15,2016
29002,local,Not Stated,Male,5,2016
29002,local,Read Only,Female,182,2016
29002,local,Read Only,Male,143,2016
29004,local,Literate,Female,1053,2016
29004,local,Literate,Male,1241,2016
29004,local,Not Read/Write,Female,1358,2016
29004,local,Not Read/Write,Male,1075,2016
29004,local,Not Stated,Female,5,2016
29004,local,Not Stated,Male,0,2016
29004,local,Read Only,Female,80,2016
29004,local,Read Only,Male,95,2016
65,district,Literate,Female,72125,2016
65,district,Literate,Male,85539,2016
65,district,Not Read/Write,Female,62247,2016
65,district,Not Read/Write,Male,33868,2016
65,district,Not Stated,Female,106,2016
65,district,Not Stated,Male,81,2016
65,district,Read Only,Female,4194,2016
65,district,Read Only,Male,4133,2016
20008,local,Literate,Female,5293,2016
20008,local,Literate,Male,6302,2016
20008,local,Not Read/Write,Female,4918,2016
20008,local,Not Read/Write,Male,2351,2016
20008,local,Not Stated,Female,14,2016
20008,local,Not Stated,Male,6,2016
20008,local,Read Only,Female,394,2016
20008,local,Read Only,Male,393,2016
20007,local,Literate,Female,3986,2016
20007,local,Literate,Male,4735,2016
20007,local,Not Read/Write,Female,3472,2016
20007,local,Not Read/Write,Male,2127,2016
20007,local,Not Stated,Female,4,2016
20007,local,Not Stated,Male,3,2016
20007,local,Read Only,Female,272,2016
20007,local,Read Only,Male,282,2016
20004,local,Literate,Female,5268,2016
20004,local,Literate,Male,6951,2016
20004,local,Not Read/Write,Female,6957,2016
20004,local,Not Read/Write,Male,4107,2016
20004,local,Not Stated,Female,0,2016
20004,local,Not Stated,Male,1,2016
20004,local,Read Only,Female,429,2016
20004,local,Read Only,Male,446,2016
20006,local,Literate,Female,5874,2016
20006,local,Literate,Male,7403,2016
20006,local,Not Read/Write,Female,6602,2016
20006,local,Not Read/Write,Male,3791,2016
20006,local,Not Stated,Female,21,2016
20006,local,Not Stated,Male,10,2016
20006,local,Read Only,Female,349,2016
20006,local,Read Only,Male,336,2016
20001,local,Literate,Female,15622,2016
20001,local,Literate,Male,18443,2016
20001,local,Not Read/Write,Female,14375,2016
20001,local,Not Read/Write,Male,7972,2016
20001,local,Not Stated,Female,43,2016
20001,local,Not Stated,Male,38,2016
20001,local,Read Only,Female,954,2016
20001,local,Read Only,Male,995,2016
20002,local,Literate,Female,2656,2016
20002,local,Literate,Male,3297,2016
20002,local,Not Read/Write,Female,3502,2016
20002,local,Not Read/Write,Male,2005,2016
20002,local,Not Stated,Female,2,2016
20002,local,Not Stated,Male,1,2016
20002,local,Read Only,Female,335,2016
20002,local,Read Only,Male,330,2016
20009,local,Literate,Female,9895,2016
20009,local,Literate,Male,11379,2016
20009,local,Not Read/Write,Female,6885,2016
20009,local,Not Read/Write,Male,3621,2016
20009,local,Not Stated,Female,7,2016
20009,local,Not Stated,Male,7,2016
20009,local,Read Only,Female,462,2016
20009,local,Read Only,Male,468,2016
20003,local,Literate,Female,4556,2016
20003,local,Literate,Male,5831,2016
20003,local,Not Read/Write,Female,3934,2016
20003,local,Not Read/Write,Male,2186,2016
20003,local,Not Stated,Female,7,2016
20003,local,Not Stated,Male,7,2016
20003,local,Read Only,Female,367,2016
20003,local,Read Only,Male,355,2016
20005,local,Literate,Female,18975,2016
20005,local,Literate,Male,21198,2016
20005,local,Not Read/Write,Female,11602,2016
20005,local,Not Read/Write,Male,5708,2016
20005,local,Not Stated,Female,8,2016
20005,local,Not Stated,Male,8,2016
20005,local,Read Only,Female,632,2016
20005,local,Read Only,Male,528,2016
66,district,Literate,Female,71160,2016
66,district,Literate,Male,84373,2016
66,district,Not Read/Write,Female,62167,2016
66,district,Not Read/Write,Male,36733,2016
66,district,Not Stated,Female,132,2016
66,district,Not Stated,Male,77,2016
66,district,Read Only,Female,3961,2016
66,district,Read Only,Male,3673,2016
23011,local,Literate,Female,4845,2016
23011,local,Literate,Male,5163,2016
23011,local,Not Read/Write,Female,3480,2016
